GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
conveyor,ru.lsan.conveyor,ConveyorApplication,19,3,0,0,5,1,1,1,1,1
conveyor,ru.lsan.conveyor,SpringFoxConfig,0,15,0,0,0,6,0,2,0,2
conveyor,ru.lsan.conveyor.exception.custom_exceptions,IncorrectRequestParametersException,3,4,0,0,2,2,1,1,1,1
conveyor,ru.lsan.conveyor.exception.custom_exceptions,LoanDenialException,3,4,0,0,2,2,1,1,1,1
conveyor,ru.lsan.conveyor.tools,ClassFieldsValidator,3,169,1,21,1,49,2,23,1,13
conveyor,ru.lsan.conveyor.dto,PaymentScheduleElement.PaymentScheduleElementBuilder,44,19,0,0,0,1,7,2,7,2
conveyor,ru.lsan.conveyor.dto,EmploymentDTO,246,51,54,0,0,8,35,10,8,10
conveyor,ru.lsan.conveyor.dto,EmploymentDTO.EmploymentDTOBuilder,14,49,0,0,0,1,1,8,1,8
conveyor,ru.lsan.conveyor.dto,CreditDTO,316,67,70,0,0,10,44,13,9,13
conveyor,ru.lsan.conveyor.dto,ScoringDataDTO,593,174,142,0,0,36,75,36,4,36
conveyor,ru.lsan.conveyor.dto,PaymentScheduleElement,234,63,54,0,0,8,32,13,5,13
conveyor,ru.lsan.conveyor.dto,CreditDTO.CreditDTOBuilder,33,48,0,0,0,1,4,7,4,7
conveyor,ru.lsan.conveyor.dto,LoanOfferDTO.LoanOfferDTOBuilder,81,0,0,0,1,0,11,0,11,0
conveyor,ru.lsan.conveyor.dto,LoanApplicationRequestDTO,329,96,78,0,0,12,43,20,4,20
conveyor,ru.lsan.conveyor.dto,LoanOfferDTO,354,49,70,0,3,15,48,11,13,11
conveyor,ru.lsan.conveyor.api,ConveyorController,0,33,0,0,0,9,0,4,0,4
conveyor,ru.lsan.conveyor.service,ScoringService,35,184,8,12,0,48,8,6,0,4
conveyor,ru.lsan.conveyor.service,PrescoringService,0,119,0,0,0,20,0,2,0,2
conveyor,ru.lsan.conveyor.service,ScoringConditions,14,167,10,20,1,23,9,20,1,13
conveyor,ru.lsan.conveyor.exception,RestExceptionHandler,0,28,0,0,0,8,0,5,0,5
conveyor,ru.lsan.conveyor.dto.enums,EmploymentStatusEnum,0,44,0,0,0,5,0,1,0,1
conveyor,ru.lsan.conveyor.dto.enums,GenderEnum,0,34,0,0,0,4,0,1,0,1
conveyor,ru.lsan.conveyor.dto.enums,MaritalStatusEnum,0,44,0,0,0,5,0,1,0,1
conveyor,ru.lsan.conveyor.dto.enums,PositionEnum,0,64,0,0,0,7,0,1,0,1
